"lat" "long" "depth"
"83" -19.57 182.38 -5.79
"84" -20.12 183.4 -2.84
"85" -17.7 181.7 -4.5
"86" -19.66 184.31 -1.7
"87" -21.5 170.5 -1.17
"88" -23.64 179.96 -5.38
"89" -15.43 186.3 -1.23
"90" -15.41 186.44 -0.69
"91" -15.48 167.53 -1.28
"92" -13.36 167.06 -2.36
"93" -20.64 182.02 -4.97
"94" -19.72 169.71 -2.71
"95" -15.44 185.26 -2.24
"96" -19.73 182.4 -3.75
"97" -27.24 181.11 -3.65
"98" -18.16 183.41 -3.06
"99" -13.66 166.54 -0.5
"100" -24.57 179.92 -4.84
"101" -16.98 185.61 -1.08
"102" -26.2 178.41 -5.83
"103" -21.88 180.39 -6.08
"104" -33 181.6 -0.72
"105" -21.33 180.69 -6.36
"106" -19.44 183.5 -2.93
"107" -34.89 180.6 -0.42
"108" -20.24 169.49 -1
"109" -22.55 185.9 -0.42
"110" -36.95 177.81 -1.46
"111" -15.75 185.23 -2.8
"112" -16.85 182.31 -3.88
"113" -19.06 182.45 -4.77
"114" -26.11 178.3 -6.17
"115" -26.2 178.35 -6.06
"116" -26.13 178.31 -6.09
"117" -13.66 172.23 -0.46
"118" -13.47 172.29 -0.64
"119" -14.6 167.4 -1.78
"120" -18.96 169.48 -2.48
"121" -14.65 166.97 -0.82
"122" -19.9 178.9 -0.81
"123" -22.05 180.4 -6.06
"124" -19.22 182.43 -5.71
"125" -31.24 180.6 -3.28
"126" -17.93 167.89 -0.49
"127" -19.3 183.84 -5.17
"128" -26.53 178.57 -6
"129" -27.72 181.7 -0.94
"130" -19.19 183.51 -3.07
"131" -17.43 185.43 -1.89
"132" -17.05 181.22 -5.27
"133" -19.52 168.98 -0.63
"134" -23.71 180.3 -5.1
"135" -21.3 180.82 -6.24
"136" -16.24 168.02 -0.53
"137" -16.14 187.32 -0.42
"138" -23.95 182.8 -1.99
"139" -25.2 182.6 -1.49
"140" -18.84 184.16 -2.1
"141" -12.66 169.46 -6.58
"142" -20.65 181.4 -5.82
"143" -13.23 167.1 -2.2
"144" -29.91 181.43 -2.05
"145" -14.31 173.5 -6.14
"146" -20.1 184.4 -1.86
"147" -17.8 185.17 -0.97
"148" -21.27 173.49 -0.48
"149" -23.58 180.17 -4.62
"150" -17.9 181.5 -5.73
"151" -23.34 184.5 -0.56
"152" -15.56 167.62 -1.27
"153" -23.83 182.56 -2.29
"154" -11.8 165.8 -1.12
"155" -15.54 167.68 -1.4
"156" -20.65 181.32 -5.97
"157" -11.75 166.07 -0.69
"158" -24.81 180 -4.52
"159" -20.9 169.84 -0.93
"160" -11.34 166.24 -1.03
"161" -17.98 180.5 -6.26
"162" -24.34 179.52 -5.04
"163" -13.86 167.16 -2.02
"164" -35.56 180.2 -0.42
"165" -35.48 179.9 -0.59
"166" -34.2 179.43 -0.4
"167" -26 182.12 -2.05
"168" -19.89 183.84 -2.44
"169" -23.43 180 -5.53
"170" -18.89 169.42 -2.39
"171" -17.82 181.83 -6.4
"172" -25.68 180.34 -4.34
"173" -20.2 180.9 -6.27
"174" -15.2 184.68 -0.99
"175" -15.03 182.29 -3.99
"176" -32.22 180.2 -2.16
"177" -22.64 180.64 -5.44
"178" -17.42 185.16 -2.06
"179" -17.84 181.48 -5.42
"180" -15.02 184.24 -3.39
"181" -18.04 181.75 -6.4
"182" -24.6 183.5 -0.67
"183" -19.88 184.3 -1.61
"184" -20.3 183 -3.75
"185" -20.45 181.85 -5.34
"186" -17.67 187.09 -0.45
"187" -22.3 181.9 -3.09
"188" -19.85 181.85 -5.76
"189" -24.27 179.88 -5.23
"190" -15.85 185.13 -2.9
"191" -20.02 184.09 -2.34
"192" -18.56 169.31 -2.23
"193" -17.87 182 -5.69
"194" -24.08 179.5 -6.05
"195" -32.2 179.61 -4.22
"196" -20.36 181.19 -6.37
"197" -23.85 182.53 -2.04
"198" -24 182.75 -1.75
"199" -20.41 181.74 -5.38
"200" -17.72 180.3 -5.95
"201" -19.67 182.18 -3.6
"202" -17.7 182.2 -4.45
"203" -16.23 183.59 -3.67
"204" -26.72 183.35 -1.9
"205" -12.95 169.09 -6.29
"206" -21.97 182.32 -2.61
"207" -21.96 180.54 -6.03
"208" -20.32 181.69 -5.08
"209" -30.28 180.62 -3.5
"210" -20.2 182.3 -5.33
"211" -30.66 180.13 -4.11
"212" -16.17 184.1 -3.38
"213" -28.25 181.71 -2.26
"214" -20.47 185.68 -0.93
"215" -23.55 180.27 -5.35
"216" -20.94 181.58 -5.73
"217" -26.67 182.4 -1.86
"218" -18.13 181.52 -6.18
"219" -20.21 183.83 -2.42
"220" -18.31 182.39 -3.42
"221" -16.52 185.7 -0.9
"222" -22.36 171.65 -1.3
"223" -22.43 184.48 -0.65
"224" -20.37 182.1 -3.97
"225" -23.77 180.16 -5.05
"226" -13.65 166.66 -0.71
"227" -21.55 182.9 -2.07
"228" -16.24 185.75 -1.54
"229" -23.73 182.53 -2.32
"230" -22.34 171.52 -1.06
"231" -19.4 180.94 -6.64
"232" -24.64 180.81 -3.97
"233" -16 182.82 -4.31
"234" -19.62 185.35 -0.57
"235" -23.84 180.13 -5.25
"236" -23.54 179.93 -5.74
"237" -28.23 182.68 -0.74
"238" -21.68 180.63 -6.17
"239" -13.44 166.53 -0.44
"240" -24.96 180.22 -4.7
"241" -20.08 182.74 -2.98
"242" -24.36 182.84 -1.48
"243" -14.7 166 -0.48
"244" -18.2 183.68 -1.07
"245" -16.65 185.51 -2.18
"246" -18.11 181.67 -5.97
"247" -17.95 181.65 -6.19
"248" -15.5 186.9 -0.46
"249" -23.36 180.01 -5.53
"250" -19.15 169.5 -1.5
"251" -10.97 166.26 -1.8
"252" -14.85 167.24 -0.97
"253" -17.8 181.38 -5.87
"254" -22.5 170.4 -1.06
"255" -29.1 182.1 -1.79
"256" -20.32 180.88 -6.8
"257" -16.09 184.89 -3.04
"258" -19.18 169.33 -2.54
"259" -23.81 179.36 -5.21
"260" -23.79 179.89 -5.26
"261" -19.02 184.23 -2.7
"262" -20.9 181.51 -5.48
"263" -19.06 169.01 -1.58
"264" -17.88 181.47 -5.62
"265" -19.41 183.05 -3
"266" -26.17 184.2 -0.65
"267" -14.95 167.24 -1.3
"268" -18.73 168.8 -0.82
"269" -20.21 182.37 -4.82
"270" -21.29 180.85 -6.07
"271" -19.76 181.41 -1.05
"272" -22.09 180.38 -5.9
"273" -23.8 179.9 -4.98
"274" -20.16 181.99 -5.04
"275" -22.13 180.38 -5.77
"276" -17.44 181.4 -5.29
"277" -23.33 180.18 -5.28
"278" -24.78 179.22 -4.92
"279" -22 180.52 -5.61
"280" -19.13 182.51 -5.79
"281" -30.72 180.1 -4.13
"282" -22.32 180.54 -5.65
"283" -16.45 177.77 -1.38
"284" -17.7 185 -3.83
"285" -17.95 184.68 -2.6
"286" -24.4 179.85 -5.22
"287" -19.3 180.6 -6.71
"288" -21.13 185.32 -1.23
"289" -18.07 181.57 -5.72
"290" -20.6 182.28 -5.29
"291" -18.48 181.49 -6.41
"292" -13.34 166.2 -0.67
"293" -20.92 181.5 -5.46
"294" -25.31 179.69 -5.07
"295" -15.24 186.21 -1.58
"296" -16.4 185.86 -1.48
"297" -24.57 178.4 -5.62
"298" -17.94 181.51 -6.01
"299" -30.64 181.2 -1.75
"300" -18.64 169.32 -2.6
"301" -13.09 169.28 -6.54
"302" -19.68 184.14 -2.42
"303" -16.44 185.74 -1.26
"304" -21.09 181.38 -5.55
"305" -14.99 171.39 -6.37
"306" -23.3 179.7 -5
"307" -17.68 181.36 -5.15
"308" -22 180.53 -5.83
"309" -21.38 181.39 -5.01
"310" -32.62 181.5 -0.55
"311" -13.05 169.58 -6.44
"312" -12.93 169.63 -6.41
"313" -18.6 181.91 -4.42
"314" -21.34 181.41 -4.64
"315" -21.48 183.78 -2
"316" -17.4 181.02 -4.79
"317" -17.32 181.03 -4.97
"318" -18.77 169.24 -2.18
"319" -26.16 179.5 -4.92
"320" -12.59 167.1 -3.25
"321" -14.82 167.32 -1.23
"322" -21.79 183.48 -2.1
"323" -19.83 182.04 -5.75
"324" -29.5 182.31 -1.29
"325" -12.49 166.36 -0.74
"326" -26.1 182.3 -0.49
"327" -21.04 181.2 -4.83
"328" -10.78 165.77 -0.93
"329" -20.76 185.77 -1.18
"330" -11.41 166.24 -0.83
"331" -19.1 183.87 -0.61
"332" -23.91 180 -5.34
"333" -27.33 182.6 -0.42
"334" -12.25 166.6 -2.19
"335" -23.49 179.07 -5.44
"336" -27.18 182.18 -0.56
"337" -25.8 182.1 -0.68
"338" -27.19 182.18 -0.69
"339" -27.27 182.38 -0.45
"340" -27.1 182.18 -0.43
"341" -27.22 182.28 -0.65
"342" -27.38 181.7 -0.8
"343" -27.27 182.5 -0.51
"344" -27.54 182.5 -0.68
"345" -27.2 182.39 -0.69
"346" -27.71 182.47 -1.03
"347" -27.6 182.4 -0.61
"348" -27.38 182.39 -0.69
"349" -21.54 185.48 -0.51
"350" -27.21 182.43 -0.55
"351" -28.96 182.61 -0.54
"352" -12.01 166.29 -0.59
"353" -17.46 181.32 -5.73
"354" -30.17 182.02 -0.56
"355" -27.27 182.36 -0.65
"356" -17.79 181.32 -5.87
"357" -22.19 171.4 -1.5
"358" -17.1 182.68 -4.03
"359" -27.18 182.53 -0.6
"360" -11.64 166.47 -1.3
"361" -17.98 181.58 -5.9
"362" -16.9 185.72 -1.35
"363" -21.98 179.6 -5.83
"364" -32.14 179.9 -4.06
"365" -18.8 169.21 -2.21
"366" -26.78 183.61 -0.4
"367" -20.43 182.37 -5.02
"368" -18.3 183.2 -1.03
"369" -15.83 182.51 -4.23
"370" -23.44 182.93 -1.58
"371" -23.73 179.99 -5.27
"372" -19.89 184.08 -2.19
"373" -17.59 181.09 -5.36
"374" -19.77 181.4 -6.3
"375" -20.31 184.06 -2.49
"376" -15.33 186.75 -0.48
"377" -18.2 181.6 -5.53
"378" -15.36 186.66 -1.12
"379" -15.29 186.42 -1.53
"380" -15.36 186.71 -1.3
"381" -16.24 167.95 -1.88
"382" -13.47 167.14 -2.26
"383" -25.5 182.82 -1.24
"384" -14.32 167.33 -2.04
"385" -20.04 182.01 -6.05
"386" -28.83 181.66 -2.21
"387" -17.82 181.49 -5.73
"388" -27.23 180.98 -4.01
"389" -10.72 165.99 -1.95
"390" -27 183.88 -0.56
"391" -20.36 186.16 -1.02
"392" -27.17 183.68 -0.44
"393" -20.94 181.26 -5.56
"394" -17.46 181.9 -4.17
"395" -21.04 181.2 -5.91
"396" -23.7 179.6 -6.46
"397" -17.72 181.42 -5.65
"398" -15.87 188.13 -0.52
"399" -17.84 181.3 -5.35
"400" -13.45 170.3 -6.41
"401" -30.8 182.16 -0.41
"402" -11.63 166.14 -1.09
"403" -30.4 181.4 -0.4
"404" -26.18 178.59 -5.48
"405" -15.7 184.5 -1.18
"406" -17.95 181.5 -5.93
"407" -20.51 182.3 -4.92
"408" -15.36 167.51 -1.23
"409" -23.61 180.23 -4.75
"410" -33.2 181.6 -1.53
"411" -17.68 186.8 -1.12
"412" -22.24 184.56 -0.99
"413" -20.07 169.14 -0.66
"414" -25.04 180.1 -4.81
"415" -21.5 185.2 -1.39
"416" -14.28 167.26 -2.11
"417" -14.43 167.26 -1.51
"418" -32.7 181.7 -2.11
"419" -34.1 181.8 -2.46
"420" -19.7 186.2 -0.47
"421" -24.19 180.38 -4.84
"422" -26.6 182.77 -1.19
"423" -17.04 186.8 -0.7
"424" -22.1 179.71 -5.79
"425" -32.6 180.9 -0.57
"426" -33 182.4 -1.76
"427" -20.58 181.24 -6.02
"428" -20.61 182.6 -4.88
"429" -19.47 169.15 -1.49
"430" -17.47 180.96 -5.46
"431" -18.4 183.4 -3.43
"432" -23.33 180.26 -5.3
"433" -18.55 182.23 -5.63
"434" -26.16 178.47 -5.37
"435" -21.8 183.2 -3.25
"436" -27.63 182.93 -0.8
"437" -18.89 169.48 -2.59
"438" -20.3 182.3 -4.76
"439" -20.56 182.04 -4.99
"440" -16.1 185.32 -2.57
"441" -12.66 166.37 -1.65
"442" -21.05 184.68 -1.36
"443" -17.97 168.52 -1.46
"444" -19.83 182.54 -5.24
"445" -22.55 183.81 -0.82
"446" -22.28 183.52 -0.9
"447" -15.72 185.64 -1.38
"448" -20.85 181.59 -4.99
"449" -21.11 181.5 -5.38
"450" -25.31 180.15 -4.67
"451" -26.46 182.5 -1.84
"452" -24.09 179.68 -5.38
"453" -16.96 167.7 -0.45
"454" -23.19 182.8 -2.37
"455" -20.81 184.7 -1.62
"456" -15.03 167.32 -1.36
"457" -18.06 181.59 -6.04
"458" -19 185.6 -1.07
"459" -23.53 179.99 -5.38
"460" -18.18 180.63 -6.39
"461" -15.66 186.8 -0.45
"462" -18 180.62 -6.36
"463" -18.08 180.7 -6.28
"464" -18.05 180.86 -6.32
"465" -29.9 181.16 -2.15
"466" -20.9 181.9 -5.56
"467" -15.61 167.5 -1.35
"468" -16.03 185.43 -2.97
"469" -17.68 181.11 -5.68
"470" -31.94 180.57 -1.68
"471" -19.14 184.36 -2.69
"472" -18 185.48 -1.43
"473" -16.95 185.94 -0.95
"474" -10.79 166.06 -1.42
"475" -20.83 185.9 -1.04
"476" -32.9 181.6 -1.69
"477" -37.93 177.47 -0.65
"478" -29.09 183.2 -0.54
"479" -23.56 180.23 -4.74
"480" -19.6 185.2 -1.25
"481" -21.39 180.68 -6.17
"482" -14.85 184.87 -2.94
"483" -22.7 183.3 -1.8
"484" -32.42 181.21 -0.47
"485" -17.9 181.3 -5.93
"486" -23.58 183.4 -0.94
"487" -34.4 180.5 -2.01
"488" -17.61 181.2 -5.37
"489" -21.07 181.13 -5.94
"490" -13.84 170.62 -6.38
"491" -30.24 181.63 -0.8
"492" -18.49 169.04 -2.11
"493" -23.45 180.23 -5.2
"494" -16.04 183.54 -3.84
"495" -17.14 185.31 -2.23
"496" -22.54 172.91 -0.54
"497" -15.9 185.3 -0.57
"498" -30.04 181.2 -0.49
"499" -24.03 180.22 -5.08
"500" -18.89 184.46 -2.42
"501" -16.51 187.1 -0.62
"502" -20.1 186.3 -0.63
"503" -21.06 183.81 -2.03
"504" -13.07 166.87 -1.32
"505" -23.46 180.09 -5.43
"506" -19.41 182.3 -5.89
"507" -11.81 165.98 -0.51
"508" -11.76 165.96 -0.45
"509" -12.08 165.76 -0.63
"510" -25.59 180.02 -4.85
"511" -26.54 183.63 -0.66
"512" -20.9 184.28 -0.58
"513" -16.99 187 -0.7
"514" -23.46 180.17 -5.41
"515" -17.81 181.82 -5.98
"516" -15.17 187.2 -0.5
"517" -11.67 166.02 -1.02
"518" -20.75 184.52 -1.44
"519" -19.5 186.9 -0.58
"520" -26.18 179.79 -4.6
"521" -20.66 185.77 -0.69
"522" -19.22 182.54 -5.7
"523" -24.68 183.33 -0.7
"524" -15.43 167.38 -1.37
"525" -32.45 181.15 -0.41
"526" -21.31 180.84 -5.86
"527" -15.44 167.18 -1.4
"528" -13.26 167.01 -2.13
"529" -15.26 183.13 -3.93
"530" -33.57 180.8 -0.51
"531" -15.77 167.01 -0.64
"532" -15.79 166.83 -0.45
"533" -21 183.2 -2.96
"534" -16.28 166.94 -0.5
"535" -23.28 184.6 -0.44
"536" -16.1 167.25 -0.68
"537" -17.7 181.31 -5.49
"538" -15.96 166.69 -1.5
"539" -15.95 167.34 -0.47
"540" -17.56 181.59 -5.43
"541" -15.9 167.42 -0.4
"542" -15.29 166.9 -1
"543" -15.86 166.85 -0.85
"544" -16.2 166.8 -0.98
"545" -15.71 166.91 -0.58
"546" -16.45 167.54 -1.25
"547" -11.54 166.18 -0.89
"548" -19.61 181.91 -5.9
"549" -15.61 187.15 -0.49
"550" -21.16 181.41 -5.43
"551" -20.65 182.22 -5.06
"552" -20.33 168.71 -0.4
"553" -15.08 166.62 -0.42
"554" -23.28 184.61 -0.76
"555" -23.44 184.6 -0.63
"556" -23.12 184.42 -1.04
"557" -23.65 184.46 -0.93
"558" -22.91 183.95 -0.64
"559" -22.06 180.47 -5.87
"560" -13.56 166.49 -0.83
"561" -17.99 181.57 -5.79
"562" -23.92 184.47 -0.4
"563" -30.69 182.1 -0.62
"564" -21.92 182.8 -2.73
"565" -25.04 180.97 -3.93
"566" -19.92 183.91 -2.64
"567" -27.75 182.26 -1.74
"568" -17.71 181.18 -5.74
"569" -19.6 183.84 -3.09
"570" -34.68 179.82 -0.75
"571" -14.46 167.26 -1.95
"572" -18.85 187.55 -0.44
"573" -17.02 182.41 -4.2
"574" -20.41 186.51 -0.63
"575" -18.18 182.04 -6.09
"576" -16.49 187.8 -0.4
"577" -17.74 181.31 -5.75
"578" -20.49 181.69 -5.59
"579" -18.51 182.64 -4.05
"580" -27.28 183.4 -0.7
"581" -15.9 167.16 -0.41
"582" -20.57 181.33 -6.05
"583" -11.25 166.36 -1.3
"584" -20.04 181.87 -5.77
"585" -20.89 181.25 -5.99
"586" -16.62 186.74 -0.82
"587" -20.09 168.75 -0.5
"588" -24.96 179.87 -4.8
"589" -20.95 181.42 -5.59
"590" -23.31 179.27 -5.66
"591" -20.95 181.06 -6.11
"592" -21.58 181.9 -4.09
"593" -13.62 167.15 -2.09
"594" -12.72 166.28 -0.7
"595" -21.79 185 -0.74
"596" -20.48 169.76 -1.34
"597" -12.84 166.78 -1.5
"598" -17.02 182.93 -4.06
"599" -23.89 182.39 -2.43
"600" -23.07 184.03 -0.89
"601" -27.98 181.96 -0.53
"602" -28.1 182.25 -0.68
"603" -21.24 180.81 -6.05
"604" -21.24 180.86 -6.15
"605" -19.89 174.46 -5.46
"606" -32.82 179.8 -1.76
"607" -22 185.5 -0.52
"608" -21.57 185.62 -0.66
"609" -24.5 180.92 -3.77
"610" -33.03 180.2 -1.86
"611" -30.09 182.4 -0.51
"612" -22.75 170.99 -0.67
"613" -17.99 168.98 -2.34
"614" -19.6 181.87 -5.97
"615" -15.65 186.26 -0.64
"616" -17.78 181.53 -5.11
"617" -22.04 184.91 -0.47
"618" -20.06 168.69 -0.49
"619" -18.07 181.54 -5.46
"620" -12.85 165.67 -0.75
"621" -33.29 181.3 -0.6
"622" -34.63 179.1 -2.78
"623" -24.18 179.02 -5.5
"624" -23.78 180.31 -5.18
"625" -22.37 171.5 -1.16
"626" -23.97 179.91 -5.18
"627" -34.12 181.75 -0.75
"628" -25.25 179.86 -4.91
"629" -22.87 172.65 -0.56
"630" -18.48 182.37 -3.76
"631" -21.46 181.02 -5.84
"632" -28.56 183.47 -0.48
"633" -28.56 183.59 -0.53
"634" -21.3 180.92 -6.17
"635" -20.08 183.22 -2.94
"636" -18.82 182.21 -4.17
"637" -19.51 183.97 -2.8
"638" -12.05 167.39 -3.32
"639" -17.4 186.54 -0.85
"640" -23.93 180.18 -5.25
"641" -21.23 181.09 -6.13
"642" -16.23 167.91 -1.82
"643" -28.15 183.4 -0.57
"644" -20.81 185.01 -0.79
"645" -20.72 181.41 -5.95
"646" -23.29 184 -1.64
"647" -38.46 176.03 -1.48
"648" -15.48 186.73 -0.82
"649" -37.03 177.52 -1.53
"650" -20.48 181.38 -5.56
"651" -18.12 181.88 -6.49
"652" -18.17 181.98 -6.51
"653" -11.4 166.07 -0.93
"654" -23.1 180.12 -5.33
"655" -14.28 170.34 -6.42
"656" -22.87 171.72 -0.47
"657" -17.59 180.98 -5.48
"658" -27.6 182.1 -1.54
"659" -17.94 180.6 -6.27
"660" -17.88 180.58 -6.22
"661" -30.01 180.8 -2.86
"662" -19.19 182.3 -3.9
"663" -18.14 180.87 -6.24
"664" -23.46 180.11 -5.39
"665" -18.44 181.04 -6.24
"666" -18.21 180.87 -6.31
"667" -18.26 180.98 -6.31
"668" -15.85 184.83 -2.99
"669" -23.82 180.09 -4.98
"670" -18.6 184.28 -2.55
"671" -17.8 181.32 -5.39
"672" -10.78 166.1 -1.95
"673" -18.12 181.71 -5.94
"674" -19.34 182.62 -5.73
"675" -15.34 167.1 -1.28
"676" -24.97 182.85 -1.37
"677" -15.97 186.08 -1.43
"678" -23.47 180.24 -5.11
"679" -23.11 179.15 -5.64
"680" -20.54 181.66 -5.59
"681" -18.92 169.37 -2.48
"682" -20.16 184.27 -2.1
"683" -25.48 180.94 -3.9
"684" -18.19 181.74 -6.16
"685" -15.35 186.4 -0.98
"686" -18.69 169.1 -2.18
"687" -18.89 181.24 -6.55
"688" -17.61 183.32 -3.56
"689" -20.93 181.54 -5.64
"690" -17.6 181.5 -5.48
"691" -17.96 181.4 -6.55
"692" -18.8 182.41 -3.85
"693" -20.61 182.44 -5.18
"694" -20.74 181.53 -5.98
"695" -25.23 179.86 -4.76
"696" -23.9 179.9 -5.79
"697" -18.07 181.58 -6.03
"698" -15.43 185.19 -2.49
"699" -14.3 167.32 -2.08
"700" -18.04 181.57 -5.87
"701" -13.9 167.18 -2.21
"702" -17.64 177.01 -5.45
"703" -17.98 181.51 -5.86
"704" -25 180 -4.88
"705" -19.45 184.48 -2.46
"706" -16.11 187.48 -0.61
"707" -23.73 179.98 -5.24
"708" -17.74 186.78 -1.04
"709" -21.56 183.23 -2.71
"710" -20.97 181.72 -4.87
"711" -15.45 186.73 -0.83
"712" -15.93 167.91 -1.83
"713" -21.47 185.86 -0.55
"714" -21.44 170.45 -1.66
"715" -22.16 180.49 -5.86
"716" -13.36 172.76 -6.18
"717" -21.22 181.51 -5.24
"718" -26.1 182.5 -1.33
"719" -18.35 185.27 -2.01
"720" -17.2 182.9 -3.83
"721" -22.42 171.4 -0.86
"722" -17.91 181.48 -5.55
"723" -26.53 178.3 -6.05
"724" -26.5 178.29 -6.09
"725" -16.31 168.08 -2.04
"726" -18.76 169.71 -2.87
"727" -17.1 182.8 -3.9
"728" -19.28 182.78 -3.48
"729" -23.5 180 -5.5
"730" -21.26 181.69 -4.87
"731" -17.97 181.48 -5.78
"732" -26.02 181.2 -3.61
"733" -30.3 180.8 -2.75
"734" -24.89 179.67 -4.98
"735" -14.57 167.24 -1.62
"736" -15.4 186.87 -0.78
"737" -22.06 183.95 -1.34
"738" -25.14 178.42 -5.54
"739" -20.3 181.4 -6.08
"740" -25.28 181.17 -3.67
"741" -20.63 181.61 -5.99
"742" -19.02 186.83 -0.45
"743" -22.1 185.3 -0.5
"744" -38.59 175.7 -1.62
"745" -19.3 183 -3.02
"746" -31.03 181.59 -0.57
"747" -30.51 181.3 -2.03
"748" -22.55 183.34 -0.66
"749" -22.14 180.64 -5.91
"750" -25.6 180.3 -4.4
"751" -18.04 181.84 -6.11
"752" -21.29 185.77 -0.57
"753" -21.08 180.85 -6.27
"754" -20.64 169.66 -0.89
"755" -24.41 180.03 -5
"756" -12.16 167.03 -2.64
"757" -17.1 185.9 -1.27
"758" -21.13 185.6 -0.85
"759" -12.34 167.43 -0.5
"760" -16.43 186.73 -0.75
"761" -20.7 184.3 -1.82
"762" -21.18 180.92 -6.19
"763" -17.78 185.33 -2.23
"764" -21.57 183.86 -1.56
"765" -13.7 166.75 -0.46
"766" -12.27 167.41 -0.5
"767" -19.1 184.52 -2.3
"768" -19.85 184.51 -1.84
"769" -11.37 166.55 -1.88
"770" -20.7 186.3 -0.8
"771" -20.24 185.1 -0.86
"772" -16.4 182.73 -3.91
"773" -19.6 184.53 -1.99
"774" -21.63 180.77 -5.92
"775" -21.6 180.5 -5.95
"776" -21.77 181 -6.18
"777" -21.8 183.6 -2.13
"778" -21.05 180.9 -6.16
"779" -10.8 165.8 -1.75
"780" -17.9 181.5 -5.89
"781" -22.26 171.44 -0.83
"782" -22.33 171.46 -1.19
"783" -24.04 184.85 -0.7
"784" -20.4 186.1 -0.74
"785" -15 184.62 -0.4
"786" -27.87 183.4 -0.87
"787" -14.12 166.64 -0.63
"788" -23.61 180.27 -5.37
"789" -21.56 185.5 -0.47
"790" -21.19 181.58 -4.9
"791" -18.07 181.65 -5.93
"792" -26 178.43 -6.44
"793" -20.21 181.9 -5.76
"794" -28 182 -1.99
"795" -20.74 180.7 -5.89
"796" -31.8 180.6 -1.78
"797" -18.91 169.46 -2.48
"798" -20.45 182.1 -5
"799" -22.9 183.8 -0.71
"800" -18.11 181.63 -5.68
"801" -23.8 184.7 -0.42
"802" -23.42 180.21 -5.1
"803" -23.2 184.8 -0.97
"804" -12.93 169.52 -6.63
"805" -21.14 181.06 -6.25
"806" -19.13 184.97 -2.1
"807" -21.08 181.3 -5.57
"808" -20.07 181.75 -5.82
"809" -20.9 182.02 -4.02
"810" -25.04 179.84 -4.74
"811" -21.85 180.89 -5.77
"812" -19.34 186.59 -0.56
"813" -15.83 167.1 -0.43
"814" -23.73 183 -1.18
"815" -18.1 181.72 -5.44
"816" -22.12 180.49 -5.32
"817" -15.39 185.1 -2.37
"818" -16.21 186.52 -1.11
"819" -21.75 180.67 -5.95
"820" -22.1 180.4 -6.03
"821" -24.97 179.54 -5.05
"822" -19.36 186.36 -1
"823" -22.14 179.62 -5.87
"824" -21.48 182.44 -3.64
"825" -18.54 168.93 -1
"826" -21.62 182.4 -3.5
"827" -13.4 166.9 -2.28
"828" -15.5 185.3 -0.93
